kunde_id,alder,maaneder_som_kunde,maanedspris_kr,ukentlig_bruk_timer,supporthenvendelser_6mnd,forsinkede_betalinger_12mnd,kontrakt,autotrekk,tilfredshet,churn
K0127,29,58,77.55,9.07,1,0,Maaned,Ja,5.86,0
K0128,18,35,80.12,13.35,2,0,Maaned,Nei,6.3,1
K0129,52,72,70.59,20.34,0,1,Ett_aar,Ja,6.18,0
K0130,28,38,68.06,11.29,1,0,To_aar,Ja,9.72,0
K0131,67,56,61.71,20.49,4,2,Maaned,Nei,2.64,1
K0132,27,10,110.45,12.92,1,2,Maaned,Ja,4.68,1
K0133,22,47,80.83,15.46,0,0,Maaned,Ja,9.21,0
K0134,49,24,63.57,18.13,0,1,To_aar,Nei,5.63,0
K0135,43,36,57.37,11.58,0,2,Maaned,Nei,8.13,0
K0136,52,21,81.89,11.73,2,1,Maaned,Ja,6.51,0
K0137,18,11,86.98,8.97,2,1,Maaned,Nei,5.19,1
K0138,42,7,63.72,15.36,0,0,Maaned,Nei,8.62,0
K0139,41,27,78.57,13.25,3,1,Maaned,Ja,7.33,0
K0140,40,59,80.17,20.31,1,0,Maaned,Ja,7.32,0
K0141,27,56,69.43,11.16,0,1,To_aar,Ja,6.52,0
K0142,52,38,90.31,10.38,2,3,Maaned,Nei,6.51,1
K0143,51,38,72.52,17.87,0,0,Ett_aar,Ja,9.52,0
K0144,32,8,46.87,0.7,1,3,Maaned,Nei,,1
K0145,21,27,72.52,12.95,1,1,Maaned,Nei,5.27,0
K0146,26,59,63.59,18.64,0,0,To_aar,Ja,5.92,0
K0147,36,27,72.81,10.39,2,1,Maaned,Ja,4.2,1
K0148,32,120,72.45,12.52,0,3,Maaned,Ja,3.97,0
K0149,40,35,72.32,16.68,1,2,To_aar,Ja,,0
K0150,45,95,92.05,14.82,7,1,Maaned,Nei,6.63,1
K0151,59,31,82.03,4.22,4,2,Maaned,Nei,4.52,1
K0152,51,42,93.5,8.95,1,0,Maaned,Nei,6.93,1
K0153,18,44,84.68,9.24,3,1,Maaned,Ja,6.67,1
K0154,39,31,79.33,12.92,1,0,Maaned,Ja,5.8,0
K0155,48,103,81.06,6.15,1,0,Ett_aar,Ja,8.35,0
K0156,20,59,74.26,12.96,0,0,Maaned,Ja,7.32,0
K0157,21,38,66.83,9.78,1,1,To_aar,Ja,,0
K0158,33,22,75.41,7.84,0,1,Maaned,Ja,7.42,0
K0159,41,68,64.09,17.03,2,0,Maaned,Ja,8.22,0
K0160,60,8,93.69,,0,2,Maaned,Ja,5.55,1
K0161,48,14,81.38,20.18,2,0,Maaned,Nei,5.36,0
K0162,18,51,46.85,8.04,2,0,Ett_aar,Ja,8.65,0
K0163,70,51,74.21,8.55,3,1,Ett_aar,Ja,3.12,0
K0164,23,23,56.64,2.65,2,0,Maaned,Nei,7.63,0
K0165,73,68,83.77,11.44,1,1,Ett_aar,Nei,4.52,1
K0166,34,60,90.9,16.81,2,1,Ett_aar,Ja,3.89,1
K0167,51,26,83.48,17.15,3,0,Maaned,Ja,4.52,0
K0168,,30,80.04,19.52,1,1,Ett_aar,Nei,3.46,0
K0169,31,53,85.19,14.39,4,3,Maaned,Nei,1.35,0
K0170,18,68,80.26,10.49,1,3,Ett_aar,Nei,5.06,1
K0171,43,39,59.04,10.19,0,0,To_aar,Ja,9.05,0
K0172,33,31,68.41,17.81,1,0,Ett_aar,Ja,7.49,0
K0173,,38,96.07,9.64,2,1,Maaned,Ja,6.33,0
K0174,45,76,60.21,12.56,1,0,Maaned,Ja,8.88,0
K0175,20,50,68.67,15.8,1,2,Ett_aar,Ja,6.62,1
K0176,61,34,75.84,13.3,2,2,Ett_aar,Nei,4.47,0
K0177,53,39,62.08,11.09,1,0,Ett_aar,Ja,6.27,0
K0178,18,56,72.87,7.67,1,2,Maaned,Nei,6.59,0
K0179,56,34,78.56,10.08,5,1,Ett_aar,Nei,4.35,0
K0180,44,39,71.17,8.38,2,3,Ett_aar,Ja,6.66,0
K0181,51,25,59.58,18.77,1,0,Maaned,Ja,7.16,0
K0182,53,41,91.32,8.95,2,0,Ett_aar,Ja,8.22,0
K0183,39,35,67.06,12.66,3,2,Ett_aar,Ja,4.57,0
K0184,40,64,87.65,20.01,1,0,Ett_aar,Ja,7.46,0
K0185,41,47,91.23,13.57,2,1,Ett_aar,Nei,5.65,0
K0186,44,50,98.72,12.91,1,2,Maaned,Nei,5.51,0
K0187,47,54,94.06,11.47,0,2,Maaned,Nei,8.55,1
K0188,33,25,78.49,5.28,0,0,Ett_aar,Ja,8.62,0
K0189,36,40,69.36,14.91,1,0,Maaned,Ja,7.85,0
K0190,39,32,80.5,18.05,0,0,Ett_aar,Nei,,0
K0191,26,34,57.94,8.33,2,0,Ett_aar,Ja,8.51,0
K0192,42,117,72.73,17.28,1,0,To_aar,Ja,7.1,0
K0193,34,20,,12.09,0,1,Maaned,Nei,8.31,1
K0194,20,17,89.43,,1,0,Ett_aar,Ja,6.46,0
K0195,41,28,42.95,13.63,1,0,Maaned,Ja,6.61,0
K0196,41,20,85.79,15.16,0,0,Ett_aar,Ja,8.26,0
K0197,50,10,,,1,1,Maaned,Nei,4.85,0
K0198,21,14,72.59,9.69,1,0,Maaned,Ja,7.38,0
K0199,28,52,74.52,9.75,1,1,Ett_aar,Ja,8.21,0
K0200,41,25,73.3,0.76,4,0,Ett_aar,Ja,6.77,1
K0201,,28,82.85,7.31,4,0,Maaned,Nei,5.41,0
K0202,48,100,66.48,2.36,2,3,Maaned,Nei,5.71,0
K0203,47,51,49.35,4.9,1,1,Ett_aar,Nei,6.55,0
K0204,46,26,81.11,,3,3,To_aar,Nei,7.08,0
K0205,54,47,78.59,6.82,5,0,Ett_aar,Ja,5.46,0
K0206,55,15,89.7,17.36,0,1,Maaned,Ja,4.61,1
K0207,29,120,113.55,7.27,1,1,Maaned,Ja,5.17,0
K0208,30,72,79.26,8.12,1,2,Maaned,Nei,6.2,0
K0209,32,61,70.98,16.25,1,0,Ett_aar,Ja,5.71,1
K0210,50,48,81.59,9.88,1,2,Maaned,Nei,8.93,0
K0211,36,63,82.91,10.78,3,0,Maaned,Ja,6.14,0
K0212,46,20,102.6,12.62,0,1,Maaned,Ja,7.47,0
K0213,36,68,65.94,,1,0,To_aar,Ja,8.26,0
K0214,45,54,71.34,3.56,3,1,Ett_aar,Nei,6.09,1
K0215,50,20,76.48,10.04,4,1,Maaned,Nei,7.49,1
K0216,29,34,70.87,10.14,0,3,Ett_aar,Nei,6.47,1
K0217,60,48,88.36,12.57,0,0,Maaned,Nei,7.12,1
K0218,26,65,80.92,8.97,4,1,Maaned,Nei,4.76,1
K0219,18,38,65.22,17.37,1,0,Ett_aar,Nei,6.78,0
K0220,30,53,65.03,12.33,3,2,Maaned,Ja,6.3,0
K0221,36,43,73.8,7.31,1,3,Maaned,Nei,7.11,1
K0222,48,19,80.24,,1,1,Maaned,Nei,7.64,0
K0223,58,10,63.49,9.19,1,0,Maaned,Nei,7.17,0
K0224,48,58,106.43,13.12,1,0,Maaned,Nei,6.14,0
K0225,51,63,70.27,12.78,4,0,To_aar,Ja,7.32,0
K0226,27,103,48.5,10.7,1,2,To_aar,Ja,8.53,0
K0227,60,39,76.88,11.08,0,1,Maaned,Ja,,0
K0228,51,6,79.07,7.1,0,2,Maaned,Nei,5.28,0
K0229,49,21,60.13,10.09,0,1,Ett_aar,Nei,7.77,0
K0230,45,68,67.39,14.48,0,1,To_aar,Ja,6.36,1
K0231,53,74,61.34,14.24,2,0,Ett_aar,Ja,8.01,0
K0232,39,22,73.5,23.9,0,0,To_aar,Ja,6.83,0
K0233,48,17,86.03,12.28,3,2,Maaned,Nei,6.15,1
K0234,46,46,89.22,12.84,0,0,Ett_aar,Ja,6.28,0
K0235,,41,70.02,16.21,1,2,Maaned,Ja,6.94,0
K0236,,18,68.51,17.81,1,0,Ett_aar,Ja,7.51,0
K0237,31,45,61.31,5.73,1,2,To_aar,Ja,5.98,0
K0238,39,66,80.55,12.34,3,2,To_aar,Ja,4.31,0
K0239,49,21,94.52,3.68,2,1,Maaned,Nei,3.9,0
K0240,53,65,85.38,11.03,2,2,Maaned,Ja,5.7,1
K0241,57,51,70.39,1.8,3,0,Ett_aar,Ja,8.23,0
K0242,55,90,65.86,15.24,2,0,To_aar,Ja,10.0,0
K0243,27,53,66.31,10.88,3,0,To_aar,Nei,6.8,0
K0244,26,7,54.16,7.46,1,0,Maaned,Nei,10.0,0
K0245,47,43,53.67,9.17,3,1,Maaned,Ja,6.8,0
K0246,,22,90.49,6.24,0,2,Maaned,Nei,6.88,0
K0247,33,9,75.24,11.12,3,1,Maaned,Nei,3.25,1
K0248,49,56,65.0,11.96,1,3,Ett_aar,Nei,7.66,0
K0249,43,39,,11.67,3,2,To_aar,Ja,4.52,0
K0250,46,21,95.51,7.98,1,0,Maaned,Nei,6.68,1
K0251,,44,77.32,16.33,1,1,Maaned,Ja,6.51,0
K0252,66,25,68.53,9.54,1,0,Maaned,Nei,6.07,1
K0253,36,62,59.94,5.26,0,1,To_aar,Ja,7.74,0
K0254,37,68,71.35,16.1,3,1,To_aar,Ja,6.77,0
K0255,36,25,69.54,18.17,3,4,Maaned,Nei,5.24,1
K0256,44,120,46.46,11.84,4,0,Maaned,Nei,3.72,0
K0257,46,33,83.35,11.09,3,1,Maaned,Ja,5.96,0
K0258,54,51,81.24,13.43,2,0,Maaned,Nei,7.6,1
K0259,39,12,72.27,12.54,1,1,Maaned,Ja,5.78,1
K0260,52,72,39.18,8.29,0,0,To_aar,Ja,9.17,0
K0261,43,39,44.21,16.04,1,1,To_aar,Nei,7.24,0
K0262,42,47,83.01,10.58,0,0,Maaned,Ja,,0
K0263,18,118,82.24,18.85,1,3,Ett_aar,Nei,3.98,1
K0264,29,14,80.43,9.21,1,1,Maaned,Nei,7.43,0
K0265,29,6,70.93,13.48,0,1,Maaned,Nei,7.54,0
K0266,40,50,85.61,12.24,0,2,Maaned,Nei,5.56,0
K0267,25,51,54.43,3.76,2,1,Ett_aar,Ja,5.78,0
K0268,21,28,58.26,9.88,1,0,Ett_aar,Ja,6.68,0
K0269,46,35,79.57,10.89,3,1,Ett_aar,Nei,3.35,1
K0270,33,36,85.65,18.77,2,0,To_aar,Ja,7.04,0
K0271,,51,69.97,19.13,0,0,To_aar,Ja,10.0,0
K0272,29,79,65.56,4.62,2,0,Ett_aar,Ja,8.45,0
K0273,56,43,83.48,17.56,1,3,Maaned,Nei,6.04,1
K0274,35,71,75.98,17.0,2,2,Maaned,Ja,8.64,0
K0275,35,44,64.76,18.14,0,0,Ett_aar,Ja,6.25,0
K0276,60,30,80.91,5.42,1,0,Maaned,Ja,6.16,1
K0277,30,15,94.38,,4,2,Ett_aar,Ja,7.19,0
K0278,27,28,90.05,11.65,0,1,Maaned,Ja,6.46,1
K0279,34,82,68.81,9.12,0,0,Maaned,Nei,7.9,0
K0280,18,20,79.67,13.38,1,0,Ett_aar,Ja,4.43,0
K0281,38,60,74.15,11.77,1,1,Maaned,Nei,6.11,0
K0282,36,24,70.39,12.34,1,0,Maaned,Ja,7.07,0
K0283,33,44,73.6,9.94,2,2,Maaned,Nei,6.2,0
K0284,48,52,61.36,9.41,0,0,Ett_aar,Ja,10.0,0
K0285,29,22,66.47,,0,2,Maaned,Nei,7.55,0
K0286,42,31,67.16,18.02,1,0,To_aar,Ja,6.74,0
K0287,37,16,74.93,12.27,0,2,Maaned,Nei,7.2,1
K0288,44,38,77.31,7.69,2,1,Maaned,Ja,7.8,0
K0289,46,57,84.94,16.3,0,0,Ett_aar,Ja,8.23,0
K0290,54,96,72.67,12.25,0,0,Ett_aar,Ja,7.57,0
K0291,28,88,78.94,,0,2,Ett_aar,Nei,7.98,0
K0292,38,37,77.2,8.68,2,2,Maaned,Ja,3.18,1
K0293,56,69,49.73,12.18,1,0,To_aar,Ja,6.14,0
K0294,46,5,74.68,14.49,1,0,Maaned,Nei,4.46,1
K0295,21,24,75.32,6.48,1,0,Maaned,Nei,7.71,0
K0296,45,43,71.17,20.27,1,0,To_aar,Ja,7.9,0
K0297,71,5,77.23,12.62,1,2,Maaned,Nei,5.73,1
K0298,35,52,97.6,13.17,0,0,Ett_aar,Ja,7.08,0
K0299,18,62,74.8,17.17,2,1,Ett_aar,Ja,8.23,0
K0300,57,36,78.37,11.75,0,0,Maaned,Ja,7.94,0
K0301,44,42,94.43,8.78,2,0,Ett_aar,Nei,5.23,1
K0302,41,38,70.05,13.08,1,1,Ett_aar,Ja,3.92,1
K0303,43,89,90.07,17.1,0,0,Maaned,Ja,6.25,0
K0304,19,33,80.33,10.32,3,1,Ett_aar,Ja,7.13,0
K0305,31,26,93.05,9.63,1,2,Maaned,Ja,7.02,0
K0306,18,21,77.18,7.52,0,1,Maaned,Nei,8.13,0
K0307,49,57,64.53,5.47,0,0,To_aar,Ja,6.27,0
K0308,63,24,60.34,8.08,1,0,Ett_aar,Nei,10.0,0
K0309,19,40,88.1,13.2,1,1,To_aar,Ja,7.28,0
K0310,42,55,58.92,12.2,2,1,To_aar,Nei,5.6,0
K0311,41,44,86.3,14.84,0,2,Maaned,Ja,9.14,0
K0312,49,52,63.06,5.7,2,1,Ett_aar,Ja,7.19,0
K0313,53,61,61.07,11.41,0,0,Maaned,Ja,7.01,0
K0314,35,23,73.27,11.41,0,1,Maaned,Nei,6.71,0
K0315,36,54,59.25,,2,1,Ett_aar,Ja,5.82,0
K0316,29,40,89.42,11.67,0,0,Maaned,Nei,10.0,0
K0317,52,27,65.47,9.57,1,0,Maaned,Ja,8.6,0
K0318,34,30,80.13,14.3,0,0,Ett_aar,Ja,6.29,0
K0319,18,60,80.66,5.63,0,2,To_aar,Ja,8.98,0
K0320,37,109,36.41,15.99,1,0,To_aar,Nei,7.59,0
K0321,34,41,92.64,11.39,2,2,Ett_aar,Ja,7.13,0
K0322,51,35,74.72,13.19,0,1,Maaned,Ja,7.26,0
K0323,53,21,66.44,5.54,0,1,Ett_aar,Nei,10.0,0
K0324,42,12,77.69,9.83,0,2,Maaned,Ja,5.35,0
K0325,44,60,83.63,10.72,1,1,Maaned,Nei,5.19,0
K0326,,66,80.42,13.12,2,1,Ett_aar,Ja,6.26,0
K0327,39,91,68.85,12.46,1,0,Ett_aar,Nei,6.15,0
K0328,43,39,71.65,17.77,1,0,Maaned,Ja,5.68,0
K0329,33,28,71.98,1.68,1,1,Maaned,Nei,9.76,0
K0330,28,25,69.1,12.4,0,0,Ett_aar,Ja,7.93,0
K0331,36,14,78.11,16.28,2,2,Maaned,Nei,4.38,0
K0332,47,20,,8.49,3,0,Ett_aar,Ja,4.25,0
K0333,39,61,75.88,13.26,0,0,Ett_aar,Ja,5.38,0
K0334,55,27,73.4,9.85,3,0,Maaned,Ja,5.58,1
K0335,54,83,71.19,6.14,3,0,To_aar,Ja,6.68,0
K0336,42,4,81.32,9.39,1,0,Maaned,Nei,8.74,0
K0337,42,30,67.25,4.56,1,0,To_aar,Ja,9.45,0
K0338,52,23,63.48,5.62,1,1,Ett_aar,Nei,6.01,0
K0339,36,8,70.04,1.9,0,0,Maaned,Ja,9.79,1
K0340,31,19,77.85,11.63,1,4,Maaned,Nei,6.22,0
K0341,18,49,91.06,18.81,3,1,Ett_aar,Nei,5.16,1
K0342,42,39,72.87,12.26,1,2,Ett_aar,Ja,4.54,0
K0343,37,36,96.0,13.89,0,0,Maaned,Nei,7.59,0
K0344,49,14,61.05,5.21,2,1,Maaned,Ja,6.52,0
K0345,40,47,,11.4,1,0,Ett_aar,Nei,8.36,0
K0346,18,6,65.47,7.79,2,2,Maaned,Nei,6.7,0
K0347,41,57,64.0,9.93,1,2,Ett_aar,Ja,5.3,0
K0348,47,50,61.19,14.72,0,1,Maaned,Ja,8.83,0
K0349,37,36,99.68,9.31,1,0,Ett_aar,Ja,8.64,0
K0350,47,42,62.48,13.0,2,0,Ett_aar,Nei,9.13,0
K0351,43,29,83.38,5.64,0,0,Ett_aar,Ja,8.38,0
K0352,42,56,72.46,15.92,1,3,Maaned,Nei,5.07,0
K0353,45,68,75.22,,0,1,To_aar,Ja,7.77,0
K0354,,37,66.04,10.3,2,2,Ett_aar,Nei,5.01,0
K0355,20,48,71.87,7.76,2,0,Ett_aar,Nei,8.4,0
K0356,52,70,65.28,12.32,1,0,Ett_aar,Ja,6.21,0
K0357,51,78,97.76,14.76,0,1,Maaned,Nei,7.52,0
K0358,41,13,67.56,8.46,1,1,Maaned,Nei,5.78,0
K0359,47,19,74.11,,3,0,Ett_aar,Ja,6.46,0
K0360,18,29,65.32,16.21,3,1,Ett_aar,Ja,6.21,0
K0361,45,7,67.44,16.17,1,0,Maaned,Ja,7.55,0
K0362,37,22,85.64,9.48,1,0,Maaned,Ja,6.48,1
K0363,56,71,63.21,12.02,0,2,Maaned,Ja,6.43,0
K0364,35,18,,6.72,2,1,Maaned,Nei,5.4,1
K0365,32,49,87.09,13.97,2,2,Maaned,Nei,4.94,0
K0366,40,24,48.64,10.9,1,2,Ett_aar,Ja,7.49,0
K0367,53,45,64.89,,1,1,Ett_aar,Ja,10.0,0
K0368,35,85,77.02,18.15,1,0,Ett_aar,Ja,8.16,0
K0369,60,25,74.11,14.76,1,0,Maaned,Nei,6.49,1
K0370,63,15,68.29,10.78,2,0,Maaned,Nei,6.52,0
K0371,43,108,56.81,5.47,2,0,Ett_aar,Nei,6.89,0
K0372,32,36,65.02,5.68,1,0,Ett_aar,Ja,8.88,0
K0373,56,16,69.98,6.75,5,1,Maaned,Ja,3.74,1
K0374,37,63,68.85,6.13,1,1,Maaned,Ja,6.45,1
K0375,53,43,66.18,13.33,0,0,Maaned,Ja,6.66,0
K0376,51,39,67.95,9.13,0,2,To_aar,Ja,9.09,0
K0377,68,13,77.69,18.44,2,1,Maaned,Ja,4.5,0
K0378,41,38,82.3,8.45,2,2,Maaned,Nei,7.71,1
K0379,34,54,89.48,9.05,2,2,Maaned,Nei,5.42,0
K0380,,26,76.68,6.43,1,0,Maaned,Ja,9.5,0
K0381,22,35,83.72,9.59,0,1,Maaned,Nei,8.28,0
K0382,41,51,70.94,,1,0,Ett_aar,Ja,6.22,0
K0383,47,41,75.46,15.44,1,0,To_aar,Ja,5.96,0
K0384,50,32,62.66,9.57,2,2,To_aar,Nei,5.91,1
K0385,43,21,76.75,,3,1,Maaned,Ja,5.82,0
K0386,44,97,73.43,16.26,0,0,Maaned,Nei,7.94,0
K0387,25,26,74.64,12.73,1,1,Maaned,Nei,8.47,0
K0388,47,46,82.9,10.73,1,1,Ett_aar,Ja,7.56,0
K0389,46,27,81.18,10.75,1,0,Maaned,Ja,4.17,1
K0390,18,48,94.64,17.99,1,1,Maaned,Ja,5.08,0
K0391,38,15,68.44,14.08,1,1,Maaned,Nei,7.1,0
